PropertyId,PropertyUrl,PropertyName,PropertyDirection,imageUri,Price,Bedrooms,Bathrooms,WebPage
14391393,https://dubizzle.com/s/DayXrP,Park View | Single Row | Brand New 4BR,"Brought to you by Primo Capital Real Estate&nbsp;this four-bedroom villa for sale in Eden, The Valley, Dubai.  Property Details:  * Single Row * Brand New * 4 Bedrooms * 5 Bathrooms * Covered Parking",https://dbz-images.dubizzle.com/images/2024/04/29/5cc4425e-1978-4bc0-a99d-c693349649e9/6b95c38859a04a069276a5e79104ada6-.jpg?impolicy=legacy&imwidth=800,3000000,4,5,Dubizzle
14337089,https://dubizzle.com/s/DayJjX,Premier Location | Luxury Living | Huge Plot,"Finding you the most desirable locations.  Mateluxy Real Estate is pleased to offer you this 4-bedroom villa in Alaya, located within the prestigious Tilal Al Ghaf community.   Property Features: * 4",https://dbz-images.dubizzle.com/images/2024/04/08/82894139-e964-47b8-bcf5-ce02a47e63ae/38d7b4a2f7f14ca98279be6b7045b792-.jpg?impolicy=legacy&imwidth=800,9999999,4,5,Dubizzle
14396094,https://dubizzle.com/s/DayZFE,Genuine Resale | Ultra luxurious Villa |The Oasis,"• Genuine Resale | Ultra luxurious Villa | Palmiera The Oasis Type Contemporary	 Bedrooms 4 Bedroom	 Bua	6,274.00	 Plot	8,267.00	 Original Price 9,554,888.00	 Paid 20% 1,910,977.60 Selling",https://dbz-images.dubizzle.com/images/2024/04/25/4b927e82-9906-4561-9b19-d4138d51f057/dde90d5c779142e7b82f08934e2de8a3-.jpg?impolicy=legacy&imwidth=800,11465865,4,5,Dubizzle
14425570,https://dubizzle.com/s/Day6k4,Close to Lagoon | OP +4% | Investor Deal,"Find your perfect home in this sanctuary of opulence and peace.  Billionaire Homes Real Estate is excited to offer this stunning 4-bedroom villa with a maid's room, located in The Oasis - Palmiera.  ",https://dbz-images.dubizzle.com/images/2024/04/15/bbc0e40a-b1f0-4a6e-bb67-df85a9180f2d/859041d534604992a51207174ae5d8f7-.jpg?impolicy=legacy&imwidth=800,9800000,4,5,Dubizzle
14444256,https://dubizzle.com/s/Daybbs,Handover Soon | Close to Pool & Park | Exclusive,"Avion Realty Real Estate is pleased to offer this exclusive 4-bedroom semi-detached villa with an attractive 2-year post-handover payment plan in Aura Phase-1, within the signature development",https://dbz-images.dubizzle.com/images/2024/04/24/6f176c15-21c3-437e-9dad-e125ca943f78/053ffed097e64a63ba5d5b6a1dd87285-.jpg?impolicy=legacy&imwidth=800,4950000,4,5,Dubizzle
14439611,https://dubizzle.com/s/DayaYx,Luxurious 5 Bedroom | Private Swimming Pool | VOT,Luxurious 5 Bedroom | Private Swimming Pool | VOT  Luxurious 5 Bedroom Chorisia 1 Villa in Al Barari  Experience luxury living at its finest in this exquisite 5-bedroom Chorisia 1 Villa in Al Barari.,https://dbz-images.dubizzle.com/images/2024/04/25/1c82994e-7b30-4269-8bf2-c1252845efbb/327d34857206433ca65ff18cf2784a88-.jpg?impolicy=legacy&imwidth=800,15000000,5,5,Dubizzle
14343474,https://dubizzle.com/s/DayLYW,Custom Villa | Ready to Move Into | High End Finish,"Custom Villa | Ready to Move Into | High End Finish  BWC Real Estate is proud to present this BRAND NEW luxury 5-bedroom Custom Built villa in Al Furjan, From the grand foyer to the imported marble",https://dbz-images.dubizzle.com/images/2024/04/24/f8c8b5de-f7fa-4117-86fe-0c1f4c7b6703/79a4f6cf78f444f2ac2700cd0acf1307-.jpg?impolicy=legacy&imwidth=800,8800000,5,10,Dubizzle
14250860,https://dubizzle.com/s/DaxnSa,Huge Plot | Vacant | Stand Alone Corner Villa,"Azco Real Estate is pleased to offer this excellent 5 Bedroom Villa in Aseel located in Arabian Ranches. The property size is 6,357 sq. ft. It has an outstanding finishing.  PROPERTY FEATURES: -",https://dbz-images.dubizzle.com/images/2024/04/27/5c7a5056-5e68-407d-8dde-84ebffe3c346/5dda21cb5fe7443c841c2cd1c3bf12fd-.jpg?impolicy=legacy&imwidth=800,6699999,5,5,Dubizzle
14362348,https://dubizzle.com/s/DayQSm,Spacious Lifestyle | Ready to Move-in | Great Location,"Azco Real Estate is thrilled to introduce this spacious 5 bedroom villa in Primrose, Damac Hills 2.The property is spread over 4,655 ft. and has a modern outstanding finishing.  FEATURES: - 5",https://dbz-images.dubizzle.com/images/2024/04/25/b66af2b2-7dde-4db9-8a78-e59d3dfd3b59/9e288423727a4b9c98bc007043cb7201-.jpg?impolicy=legacy&imwidth=800,3880000,5,7,Dubizzle
14077919,https://dubizzle.com/s/DaxETN,Modern and Stylish Villa | Amazing Location,Brought to you by A1 Properties this luxurious and premium design 3-bedroom villa + maid facing the park in Mudon Al Ranim 2.  Project Highlights:   Newly added Phase Two of 3 &amp; 4 bedroom,https://dbz-images.dubizzle.com/images/2024/04/04/194fbdfa-4840-4208-9498-0901f1bf4897/4a60ab41f53146e18c8d053d650bad66-.jpg?impolicy=legacy&imwidth=800,2500000,3,2,Dubizzle
14348782,https://dubizzle.com/s/DayMly,High ROI | Single Row | 3 Bed + Maids,"4 Direction is proud to offer you this 3 bedroom villa for sale in Centaury, The Roots DAMAC Hills 2, Dubai  Unit Details: - 3 Bedroom - Maid's Room - 4 Bathroom - 2 Covered Parking - Unfurnsihed -",https://dbz-images.dubizzle.com/images/2024/04/12/02726338-2d86-46cf-8b99-5cee8bb197ee/2cdb24d09ac342cab271a3d8868fb272-.jpg?impolicy=legacy&imwidth=800,1500000,3,4,Dubizzle
14170355,https://dubizzle.com/s/Dax2WH,4 BR Townhouse | Spacious &  Luxurious Living,"Live life in full bloom. Delight in a world where dreams come true. Where families flourish and hearts unite – a perfect place to call home. Nestled within the esteemed DAMAC Hills 2,&nbsp; Verona",https://dbz-images.dubizzle.com/images/2024/04/11/b9acb19b-22b6-4eba-b08b-171e6ec5839c/ec4238dd0e7041aab20df5281dbd8011-.jpg?impolicy=legacy&imwidth=800,1831000,4,3,Dubizzle
14453035,https://dubizzle.com/s/Daydt3,Desirable 3-Bed + Maid Townhouse: Perfect Home Near Amenities - Easy way to Exit,"ABOUT ARABIAN RANCHES 3 SUN :  Emaar Properties is presenting Sun Townhouses, which features exclusively designed 3 bedroom units located in Arabian Ranches 3, Dubai. The new contemporary development",https://dbz-images.dubizzle.com/images/2024/04/25/fbc5570a-9529-4903-b105-c288e015e133/50aa45de3ef04b398482e3c345bf52ec-.jpg?impolicy=legacy&imwidth=800,2500000,3,4,Dubizzle
14444270,https://dubizzle.com/s/DaybcG,Luxury | Venice Cluster | Modern Design," Do yourself a favour and buy this sensational opportunity before you regret missing it.     Compelling OFF-PLAN six-bedroom villa for exclusive sale in Damac Lagoons, Dubai.     Priced reasonably at",https://dbz-images.dubizzle.com/images/2024/04/26/0c985368-9263-4709-ac2d-7f0ac9e8c113/13e3bdfd03f14ca4856a51f105021f2c-.jpg?impolicy=legacy&imwidth=800,5650000,6,7,Dubizzle
14327402,https://dubizzle.com/s/DayHNI,Largest Layout and Garden | Backing the Park," George Badawi &amp; RE/MAX PK Properties  are proud to offer this exclusive 6 bedroom villa for sale in the upcoming Golf City, Paradise Hills.    This is a singular opportunity for a privileged",https://dbz-images.dubizzle.com/images/2024/04/25/6a6d6b94-67dc-4754-af94-72d85aff0329/916c70531acf40db99edca594b064196-.jpg?impolicy=legacy&imwidth=800,10000000,6,7,Dubizzle
14391184,https://dubizzle.com/s/DayXns,Lake View | Spacious Layout  | Vacant,  Property Features    * 6 Bedrooms + Maid's Room * Modern Bathrooms * Ultra Spacious Layout * Luxury Home * Prime Location   Community Amenities   * Pets Allowed * Private Garden * Private Pool *,https://dbz-images.dubizzle.com/images/2024/04/19/b77a5b34-20b9-41b8-be27-a91cc3778e0a/31dbf531376048edb83bdf24635a6050-.jpg?impolicy=legacy&imwidth=800,22950000,6,6,Dubizzle
14327908,https://dubizzle.com/s/DayHVS,With Private Pool |  Exclusive I Ready Soon,Future Generation Properties is thrilled to introduce this contemporary luxury villa with sophisticated finishes situated in Murooj Al Furjan East.  Encompassing numerous top-notch amenities,https://dbz-images.dubizzle.com/images/2024/04/05/3f9b1dcd-e3f9-4e24-82ad-2fdcaf49bc3d/63b130bf8bdb4c7dabec460fc6670e74-.jpg?impolicy=legacy&imwidth=800,5500000,4,5,Dubizzle
14268390,https://dubizzle.com/s/DaxrrU,4 Bedroom Large | Single Row I Exclusive,"Future Generation Properties is delighted to present this modern luxury finish villa located in Murooj Al Furjan East.  Filled with a large number of world-class amenities, Murooj Villas guarantee a",https://dbz-images.dubizzle.com/images/2024/04/04/86a621ed-dc73-4c9e-9f24-287d1525f93d/89b98aab9bba412bad0606356de82174-.jpg?impolicy=legacy&imwidth=800,5800000,4,6,Dubizzle
14268381,https://dubizzle.com/s/DaxrrL,Exclusive | Facing Park and Pool I Ready Soon,Future Generation Properties is delighted to present this modern luxury finish 5 bedroom Villa located in Murooj Al Furjan East.  Al Furjan is a flourishing community that is close to Ibn Battuta,https://dbz-images.dubizzle.com/images/2024/04/04/95a6ed0d-bad6-4ced-b361-3eafab72829f/7437b72053d348e99b748a9e8a6f0a26-.jpg?impolicy=legacy&imwidth=800,6200000,5,6,Dubizzle
14434221,https://dubizzle.com/s/Day9AB,Single Row unit closer to the park | Roof access,4 Bed single-row townhouse closer to the park.  Unit: 4 Bedroom Townhouse Floors: Ground+2 Type: B Block: 4 Plex Features: Single Row | Roof Access | Closer To Park  A unique 4 Bedroom townhouse,https://dbz-images.dubizzle.com/images/2024/04/19/3486db04-d1bb-4d37-9150-d3d859ff6dfd/2869b51d1084493681fc22d0723fb983-.jpg?impolicy=legacy&imwidth=800,4450000,4,4,Dubizzle
14461729,https://dubizzle.com/s/DaygJh,Big Plot | Pool View | Single Row | 4BR+Maid Villa,Top Millions Real Estate Delights to Present a Beautiful Villa in Cherrywood.  Features: Pool View Brand New High End Quality 4Bedroom with maid room Community Swimming Pool Best Location  Call Now :,https://dbz-images.dubizzle.com/images/2024/04/29/660645c2-be98-45f2-982a-41d15862f9e3/726a814c310b41879f4236623bc7032b-.jpg?impolicy=legacy&imwidth=800,3800000,4,4,Dubizzle
14365555,https://dubizzle.com/s/DayRI5,Payment Plan | Luxurious | Gated Community,MNA Properties is delighted to present this 5 Bedrooms Villa for Sale in Sobha Reserve-an exceptional development offering a stunning collection of signature villas by Sobha Group.  PROPERTY DETAILS,https://dbz-images.dubizzle.com/images/2024/04/18/e5c3264b-41d7-4ab2-9e2a-dc849b8339eb/ade5aa87535940599d9294ac73763c28-.jpg?impolicy=legacy&imwidth=800,9451275,5,5,Dubizzle
14345038,https://dubizzle.com/s/DayLna,Fully Fitted Kitchen | Handover In 2026 Q2,"Azco Real Estate is thrilled to present this spacious 3 bedroom villa in Arabian Ranches lll - Raya. The property is spread over 1,559 sq. ft. and has a modern outstanding finishing.   PROPERTY",https://dbz-images.dubizzle.com/images/2024/04/04/f1ae7858-d231-459b-aea7-3881ebc148c5/02f318c7528c4c2cb12b92a35051c518-.jpg?impolicy=legacy&imwidth=800,2450000,3,4,Dubizzle
14445568,https://dubizzle.com/s/DaybxC,5 bed + maids | Payment Plan | distress deal," Luxury Concierge Real Estate is pleased to Offer a Villa in Morocco, DAMAC Lagoons.    Overview:  Morocco at Damac Lagoons is a sub-community of Damac Lagoons. It is currently at the planning stage",https://dbz-images.dubizzle.com/images/2024/04/25/dc7c0d30-982e-4ffa-9e4f-411dbd931015/6765a397e2bb412ab784359202ac47a8-.jpg?impolicy=legacy&imwidth=800,4000000,5,5,Dubizzle
14325744,https://dubizzle.com/s/DayGmY,IMMACULATE 4BR LEGACY LARGE w/ POOL in D4,"This elegantly designed 4 Bedroom Large villa with pool is available for SALE now, very spacious and immaculate condition located in the most beautiful area in Jumeirah Park. Located on a quiet",https://dbz-images.dubizzle.com/images/2024/04/28/3ee53f6f-b0ce-457c-a2ae-8ea042af2410/3596606d380a44389827ad1c4a091cd0-.jpg?impolicy=legacy&imwidth=800,8400000,4,5,Dubizzle
14409230,https://dubizzle.com/s/Day24w,Signature Villa | 60-40 payment plan,"Sobha Reserve at Wadi Al Safa 2, Dubailand bringing a collection of signature villas by Sobha Group laced with private facilities and amenities of signature style. An ultra-classic life amidst",https://dbz-images.dubizzle.com/images/2024/04/28/2580b455-5f2b-4995-8caf-849b8c20690c/6c68caaba4014bb6885ceecedbd70599-.jpg?impolicy=legacy&imwidth=800,10820000,6,8,Dubizzle
14452052,https://dubizzle.com/s/Dayddc,New Upgraded 03 Bedroom + Maid's room Villa | Ready To Move," Unfurnished Apartment with Stunning Backyard Garden.   Escape to your own oasis in this charming unfurnished apartment featuring a beautiful backyard garden. Located in a peaceful neighborhood, this",https://dbz-images.dubizzle.com/images/2024/04/25/aaedd978-43d3-47aa-a1f5-7aaf1a90d50b/5ec7c9e16d7740c085a9ee6fed4b40f8-.jpg?impolicy=legacy&imwidth=800,1850000,3,5,Dubizzle
14415208,https://dubizzle.com/s/Day4DW,GATED GREEN COMMUNITY | GRAND VILLA," Sobha Reserve located at the heart of Wadi Al Safa 2, Dubailand.  with an open canvas of 3.47 million square feet, the villas create a disruptive optic of a non-linear streetscape. Framed in a",https://dbz-images.dubizzle.com/images/2024/04/08/cd21d0f5-4330-4b81-858a-b0bf984158cf/ce81597a7403412c8d3cf4db32e6b212-.jpg?impolicy=legacy&imwidth=800,10839000,6,5,Dubizzle
14455292,https://dubizzle.com/s/Daye3s,Corner unit | Spacious | Rented | Best price,fam properties is proud to present this Beautiful 3-Bedroom Plus Maid's Room Townhouse for Sale located in Aster - Damac Hills 2.  Property Details:  * 3 Bedroom * 4 Bathroom * Maid's Room *,https://dbz-images.dubizzle.com/images/2024/04/25/3c2079b3-6e75-48fd-8546-f66b23202a57/2408d379583f449c8ca6a37500ee9026-.jpg?impolicy=legacy&imwidth=800,1700000,3,4,Dubizzle
14435965,https://dubizzle.com/s/Day92J,Middle Unit | Great Investor Deal | Payment plan,"fam Properties presents his 3-Bedroom Townhouse + Maid's room in Elora at The Valley, a sub-community of The Valley, Dubai, residential community located at the intersection of Al Ain Dubai Road",https://dbz-images.dubizzle.com/images/2024/04/19/9802fba1-432b-4f84-b394-aeef7eb06490/ae7f60ccf25348fc9932719b0df11cb5-.jpg?impolicy=legacy&imwidth=800,2050000,3,4,Dubizzle
14444612,https://dubizzle.com/s/Daybhc,| PREMIUM LOCATION | MODERN 3BR VILLA  | CLOSE TO POOL |,"Villanova by  Dubai Properties  is a well-planned community in Dubailand. Among its many residential compounds and complexes, La Rosa is a cluster of 3 to 4-bed family homes. The off-plan development",https://dbz-images.dubizzle.com/images/2024/04/22/1bc72a8e-e22d-4171-87f0-79fcd17656ef/0f76b72fad6d452ca776c63c912a70f0-.jpg?impolicy=legacy&imwidth=800,2700000,3,5,Dubizzle
14455328,https://dubizzle.com/s/Daye42,"6 bed ++ Villa with First Row Stunning Race Course, Meydan Hotel views, GRAND (Stand) views and Par","Exclusive 6 Beds + M+ D, all Ensuite. UNIQUE Villa G + 2 + Terrace with private elevator Equipped Kitchen. Top brands. Space Optimization Vacant. Never used. RTMI. Negotiable BUA: 6,044 sq ft; Super",https://dbz-images.dubizzle.com/images/2024/04/26/4203567c-c288-42b5-94cd-69b9eaf9b0c6/b60c9dbb2dcc444db28bc9c05720749a-.jpg?impolicy=legacy&imwidth=800,18000000,6,7,Dubizzle
14438898,https://dubizzle.com/s/DayaN2,Genuine Resale | Ultra luxurious Villa,"• Genuine Resale | Ultra luxurious Villa | Palmiera The Oasis • 4 Bedroom Villas • Built up: 6274.07 • Plot: 8267 • Original price AED 9,554,88 • Asking price AED10,988,122 • 20% paid  Amenities:  •",https://dbz-images.dubizzle.com/images/2024/04/20/781ea82f-d89e-4fb9-9a06-14602532c82f/99b91e24ae47474f8886be821f44c4e3-.jpg?impolicy=legacy&imwidth=800,10988122,4,5,Dubizzle
14433027,https://dubizzle.com/s/Day8gl,BRAND NEW VILLA | BEST PRICE OFFER | DM US,"The Greenview project by Emaar Properties is the pinnacle of opulent living and provides an unmatched lifestyle in a tranquil setting. A life of comfort, luxury, and peace is promised by Greenview,",https://dbz-images.dubizzle.com/images/2024/04/18/6a405f9c-ec07-497d-8ee1-50924d94f45d/3dca662ee83943368b1f710f40ca939d-.jpg?impolicy=legacy&imwidth=800,2100000,3,4,Dubizzle
14400839,https://dubizzle.com/s/Day0Tb,Elie Saab Villa I Corner Unit I Single Row I Ready on March 2024,MHM Real Estate is proud to present for you this hot deal of this luxury 4-bedroom Villa in Elie Saab - The Fields located in the heart of Mohammed Bin Rashid City.  Property Details:  - Built-in,https://dbz-images.dubizzle.com/images/2024/04/25/6cb30949-343a-4469-83b2-482993e29bfb/e612cbb5bc1c40d6b45aee005c49b1a4-.jpg?impolicy=legacy&imwidth=800,4600000,4,5,Dubizzle
